to,from,sim_score
0SWcUpvp1XvKDKJAcOqDNl,1qrp8PDu28yMFOItAOynx3,-3
0SWcUpvp1XvKDKJAcOqDNl,51UB3HmLDQlH7I7yXJBqkq,3
0SWcUpvp1XvKDKJAcOqDNl,0Hxty2K8F2DrrCXQyQVpBo,5
0SWcUpvp1XvKDKJAcOqDNl,0hjAMjQvYeC6RHmrCEy9z5,1
0SWcUpvp1XvKDKJAcOqDNl,0jZmx4t0Fg4SJxJj0jnAdU,-5
0SWcUpvp1XvKDKJAcOqDNl,59yBn1TCeZLaDM5C9qoE2S,3
0SWcUpvp1XvKDKJAcOqDNl,2XySnpJ0uMOJ4pXd73Juyf,-1
0SWcUpvp1XvKDKJAcOqDNl,76A0fsNkEToPHjjmrFsc4Y,1
0SWcUpvp1XvKDKJAcOqDNl,0SGC6p2Vl7AYKYWtbV1jIG,5
0SWcUpvp1XvKDKJAcOqDNl,2JAUBPBVkimRLc5BGhAkfJ,-1
0SWcUpvp1XvKDKJAcOqDNl,341863z079BT4EFPiSw9DP,-1
0SWcUpvp1XvKDKJAcOqDNl,2n0U2OG5d6TuW5mKx7YrC0,1
1qrp8PDu28yMFOItAOynx3,0SWcUpvp1XvKDKJAcOqDNl,-3
1qrp8PDu28yMFOItAOynx3,51UB3HmLDQlH7I7yXJBqkq,1
1qrp8PDu28yMFOItAOynx3,0Hxty2K8F2DrrCXQyQVpBo,-1
1qrp8PDu28yMFOItAOynx3,0hjAMjQvYeC6RHmrCEy9z5,-1
1qrp8PDu28yMFOItAOynx3,0jZmx4t0Fg4SJxJj0jnAdU,-1
1qrp8PDu28yMFOItAOynx3,59yBn1TCeZLaDM5C9qoE2S,1
1qrp8PDu28yMFOItAOynx3,2XySnpJ0uMOJ4pXd73Juyf,-3
1qrp8PDu28yMFOItAOynx3,76A0fsNkEToPHjjmrFsc4Y,1
1qrp8PDu28yMFOItAOynx3,0SGC6p2Vl7AYKYWtbV1jIG,-1
1qrp8PDu28yMFOItAOynx3,2JAUBPBVkimRLc5BGhAkfJ,1
