to,from,sim_score
4PqKGf9O8g1MiVDDDFBK6P,4VbgBIyek7eDZasMZ2OBQn,17.5
3y4AS6cTOQBTnEsTbOUtIg,4VbgBIyek7eDZasMZ2OBQn,3.5
4y2jpiSWIFqdY01ZoUZUGK,4VbgBIyek7eDZasMZ2OBQn,3.5
341863z079BT4EFPiSw9DP,4VbgBIyek7eDZasMZ2OBQn,3.5
6NnewyzybtlYpugv5jNZ8A,0ZhPJLmuj6QrRHLOC3eAQC,17.5
67uDDUtLfRJSkdm34hnONH,0ZhPJLmuj6QrRHLOC3eAQC,17.5
2JAUBPBVkimRLc5BGhAkfJ,0ZhPJLmuj6QrRHLOC3eAQC,13.5
341863z079BT4EFPiSw9DP,0ZhPJLmuj6QrRHLOC3eAQC,13.5
2n0U2OG5d6TuW5mKx7YrC0,0ZhPJLmuj6QrRHLOC3eAQC,13.5
3l8hqiBze1NeW8VyP8zzbZ,0ZhPJLmuj6QrRHLOC3eAQC,7.5
3y4AS6cTOQBTnEsTbOUtIg,0ZhPJLmuj6QrRHLOC3eAQC,3.5
1tfTPKHBWZvjBlAwo95WyC,0ZhPJLmuj6QrRHLOC3eAQC,3.5
4y2jpiSWIFqdY01ZoUZUGK,0ZhPJLmuj6QrRHLOC3eAQC,3.5
1tfTPKHBWZvjBlAwo95WyC,3l8hqiBze1NeW8VyP8zzbZ,17.5
67uDDUtLfRJSkdm34hnONH,3l8hqiBze1NeW8VyP8zzbZ,17.5
3y4AS6cTOQBTnEsTbOUtIg,3l8hqiBze1NeW8VyP8zzbZ,13.5
4y2jpiSWIFqdY01ZoUZUGK,3l8hqiBze1NeW8VyP8zzbZ,13.5
2JAUBPBVkimRLc5BGhAkfJ,3l8hqiBze1NeW8VyP8zzbZ,13.5
341863z079BT4EFPiSw9DP,3l8hqiBze1NeW8VyP8zzbZ,13.5
2n0U2OG5d6TuW5mKx7YrC0,3l8hqiBze1NeW8VyP8zzbZ,13.5
0ZhPJLmuj6QrRHLOC3eAQC,3l8hqiBze1NeW8VyP8zzbZ,7.5
6NnewyzybtlYpugv5jNZ8A,3l8hqiBze1NeW8VyP8zzbZ,7.5
4VbgBIyek7eDZasMZ2OBQn,4PqKGf9O8g1MiVDDDFBK6P,17.5
3y4AS6cTOQBTnEsTbOUtIg,4PqKGf9O8g1MiVDDDFBK6P,3.5
4y2jpiSWIFqdY01ZoUZUGK,4PqKGf9O8g1MiVDDDFBK6P,3.5
341863z079BT4EFPiSw9DP,4PqKGf9O8g1MiVDDDFBK6P,3.5
0ZhPJLmuj6QrRHLOC3eAQC,6NnewyzybtlYpugv5jNZ8A,17.5
67uDDUtLfRJSkdm34hnONH,6NnewyzybtlYpugv5jNZ8A,17.5
2JAUBPBVkimRLc5BGhAkfJ,6NnewyzybtlYpugv5jNZ8A,13.5
3l8hqiBze1NeW8VyP8zzbZ,6NnewyzybtlYpugv5jNZ8A,7.5
3y4AS6cTOQBTnEsTbOUtIg,6NnewyzybtlYpugv5jNZ8A,3.5
1tfTPKHBWZvjBlAwo95WyC,6NnewyzybtlYpugv5jNZ8A,3.5
4y2jpiSWIFqdY01ZoUZUGK,6NnewyzybtlYpugv5jNZ8A,3.5
